PID,付费等级,客服,满意度,风险等级,红线,红线详情,准确性,准确性问题,上下文,上下文问题,完整性,完整性问题,态度,态度问题,总分,问题类型
9ff2dfab3abbb09fa197b98b299eaaba,Other,bingocs_bf+pm,,高,是,质疑玩家：暗示看错信息,4,,4,,4,,2,直接质疑玩家说法,14,bug
175616819,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
932226447,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
882164594,P0,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
154762370,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
647065044,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
346278788,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
322324713,P3,bingocs_bv,,低,否,,4,,4,,4,,4,,16,玩法
302183861,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
625224133,P1,bingocs_bv,5,高,否,,4,,4,,2,未回应退款诉求,4,,14,付费
252307079,P2,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
233290673,Other,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
572550163,P1,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,付费
115763423,P2,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
652603014,P1,bingocs_bv,3,低,否,,4,,4,,4,,4,,16,付费
115763423,P2,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
869368110,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,其他
333402335,Other,bingocs_bv,,低,否,,4,,4,,4,,4,,16,其他
478557495,P1,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,bug
833899314,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
538125709,P1,bingocs_bv,5,高,否,,4,,4,,2,未回应退款诉求,4,,14,玩法
907564708,P2,bingocs_bv,5,低,否,,4,,4,,4,,4,,16,付费
765050318,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
892682805,P0,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
127297360,P0,support2,,低,否,,4,,4,,4,,4,,16,bug
778572627,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,付费
649989988,P1,bingocs_bv,,低,否,,4,,4,,4,,4,,16,bug
